0.5800	885.0000	906.0000
1.5800	778.0000	787.0000
2.5800	968.0000	1012.0000
3.5800	1052.0000	1127.0000
4.5800	1469.0000	1871.0000
5.5800	1567.0000	2075.0000
6.5800	1706.0000	2460.0000
7.5800	1849.0000	2911.0000
8.5800	1905.0000	2938.0000
9.5800	2056.0000	3221.0000
10.5800	1986.0000	2877.0000
11.5800	2113.0000	3027.0000
12.5800	2128.0000	3006.0000
13.5800	2198.0000	3069.0000
14.5800	2163.0000	2858.0000
15.5800	2188.0000	2858.0000
16.5800	2158.0000	2729.0000
17.5800	2099.0000	2600.0000
18.5800	1888.0000	2259.0000
19.5800	1592.0000	1791.0000
20.5800	1413.0000	1563.0000
21.5800	1371.0000	1531.0000
22.5800	979.0000	1012.0000
23.5800	843.0000	859.0000
